"payment_month","user_id","new_users","user_revenue","new_revenue","churned_users","churned_revenue","returned_users","back_from_churn_revenue","expansion_mrr","contraction_mrr","customer_lifetime","customer_lifetime_value","game_name","language","has_older_device_model","age","age_groups"
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,,13.95,,,,,,,-31.32,238,331.26,game 3,uk,false,24,"18-24"
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,,64.50,,,,,,22.47,,295,455.70,game 3,ru,false,24,"18-24"
2022-04-01,aQDvOXzsDAJWi3Y47ptRPg==,aQDvOXzsDAJWi3Y47ptRPg==,15.21,15.21,,,,,,,40,73.59,game 3,ru,false,20,"18-24"
2022-04-01,b3TBQFxyCxxypmPajF+jXw==,,14.82,,,,,,0.84,,76,128.79,game 3,uk,true,15,"14-17"
2022-04-01,B4b6v6eUHvAVOeAQk6EEiw==,,63.60,,,,,,48.30,,256,385.41,game 3,ru,false,23,"18-24"
2022-04-01,BJlqmsfEshc/QjsD7VgEjg==,BJlqmsfEshc/QjsD7VgEjg==,30.66,30.66,,,,,,,144,165.93,game 3,ru,false,18,"18-24"
2022-04-01,CCwTMcGtpirFFuqzSeTyaQ==,,20.76,,CCwTMcGtpirFFuqzSeTyaQ==,20.76,,,4.92,,34,36.60,game 3,uk,false,18,"18-24"
2022-04-01,Dbff3x5cRk6/tUY3WQdzFQ==,Dbff3x5cRk6/tUY3WQdzFQ==,60.57,60.57,,,,,,,176,335.76,game 3,uk,false,21,"18-24"
2022-04-01,DorDcyqBWMg5IEaflqn5Xw==,DorDcyqBWMg5IEaflqn5Xw==,50.16,50.16,,,,,,,269,257.76,game 3,ru,false,23,"18-24"
2022-04-01,dpfu6t8G4blqMn55KM8bSg==,dpfu6t8G4blqMn55KM8bSg==,33.03,33.03,,,,,,,192,400.32,game 3,uk,false,16,"14-17"
2022-04-01,DqezK7HAqZ+GovyRuzxD1A==,DqezK7HAqZ+GovyRuzxD1A==,83.19,83.19,,,,,,,102,362.34,game 3,uk,false,23,"18-24"
2022-04-01,eCd4MBHIR4qUWapg05TFLQ==,eCd4MBHIR4qUWapg05TFLQ==,23.04,23.04,,,,,,,218,242.04,game 3,ru,false,18,"18-24"
2022-04-01,F9Jtg6+0qPUKWDgBJxG8cA==,F9Jtg6+0qPUKWDgBJxG8cA==,48.45,48.45,,,,,,,197,221.64,game 3,ru,false,18,"18-24"
2022-04-01,fCdEizmUtnjNYQLbx81H8g==,fCdEizmUtnjNYQLbx81H8g==,18.12,18.12,fCdEizmUtnjNYQLbx81H8g==,18.12,,,,,1,18.12,game 3,ru,false,16,"14-17"
2022-04-01,Fqu+/F0rn1G4YP3f3yHA1Q==,Fqu+/F0rn1G4YP3f3yHA1Q==,26.28,26.28,,,,,,,261,198.33,game 3,uk,false,21,"18-24"
2022-04-01,GEAVJz1gd3SThbDZR01fcA==,GEAVJz1gd3SThbDZR01fcA==,87.36,87.36,,,,,,,191,333.36,game 3,uk,false,14,"14-17"
2022-04-01,Ghk2iJmzSUW4qLsmJgwOcw==,,128.40,,,,,,111.27,,279,696.72,game 3,uk,false,16,"14-17"
2022-04-01,gPRMy8HkmaiyX+13OxuP/A==,gPRMy8HkmaiyX+13OxuP/A==,55.86,55.86,,,,,,,217,343.20,game 3,ru,false,21,"18-24"
2022-04-01,Grpkzd4XIHh+ZbTMNxnUGg==,Grpkzd4XIHh+ZbTMNxnUGg==,35.55,35.55,,,,,,,194,109.08,game 3,ru,false,30,"25-30"
2022-04-01,H2Tik+BqoLgAQX4uSw/8vA==,H2Tik+BqoLgAQX4uSw/8vA==,14.34,14.34,,,,,,,151,122.49,game 3,uk,false,30,"25-30"
2022-04-01,Hamw6F2EZmJfI2glmE2NEg==,Hamw6F2EZmJfI2glmE2NEg==,42.24,42.24,,,,,,,208,242.97,game 3,ru,true,24,"18-24"
2022-04-01,hkNuy6dTFIFcsQQfT5YkwQ==,hkNuy6dTFIFcsQQfT5YkwQ==,20.25,20.25,hkNuy6dTFIFcsQQfT5YkwQ==,20.25,,,,,1,20.25,game 3,uk,false,21,"18-24"
2022-04-01,HRBsRwGu5mkTvZBTNpA0tQ==,HRBsRwGu5mkTvZBTNpA0tQ==,59.64,59.64,,,,,,,51,80.49,game 3,ru,false,17,"14-17"
2022-04-01,hRkRI5YBVIH6bbqIDTbung==,hRkRI5YBVIH6bbqIDTbung==,67.26,67.26,,,,,,,38,83.70,game 3,uk,false,19,"18-24"
2022-04-01,HxWcXHURvvtOJkrXAcDxQg==,,82.53,,,,,,16.35,,301,612.63,game 3,uk,false,15,"14-17"
2022-04-01,HZqx1XVZ1mb7lM9T61x+DA==,HZqx1XVZ1mb7lM9T61x+DA==,14.61,14.61,,,,,,,202,41.94,game 3,ru,false,43,"41-45"
2022-04-01,iFFApiXZ2wPdS666BLpKZw==,,49.92,,,,,,23.07,,191,248.28,game 3,uk,false,18,"18-24"
2022-04-01,iFnn4bfYgNs8OS5MCcLjeA==,iFnn4bfYgNs8OS5MCcLjeA==,18.39,18.39,,,,,,,199,144.48,game 3,uk,false,28,"25-30"
2022-04-01,ilnMSoPJHAYMegDX02XG+w==,ilnMSoPJHAYMegDX02XG+w==,54.03,54.03,,,,,,,39,118.89,game 3,uk,false,25,"25-30"
2022-04-01,J6WNl39fdxaY8ZtvV8wNkw==,,18.42,,,,,,2.28,,96,101.40,game 3,uk,true,18,"18-24"
2022-04-01,Jp0hnV9XOJGVV5jpFhlqgQ==,,56.16,,,,,,,-66.48,269,422.28,game 3,uk,false,25,"25-30"
2022-04-01,jVhb69DTRT5TSWYEiUrlbg==,,58.44,,,,,,40.98,,267,443.16,game 3,uk,false,20,"18-24"
2022-04-01,K/6KHxREKTlFZXRfBNVNuQ==,K/6KHxREKTlFZXRfBNVNuQ==,41.46,41.46,,,,,,,184,155.79,game 3,ru,false,19,"18-24"
2022-04-01,l3sFUsG2qpcnrEzwRnjvtQ==,,59.73,,l3sFUsG2qpcnrEzwRnjvtQ==,59.73,,,21.63,,58,97.83,game 3,ru,false,15,"14-17"
2022-04-01,lCD23Awt3KotauWenCRr5w==,lCD23Awt3KotauWenCRr5w==,47.94,47.94,,,,,,,72,161.67,game 3,uk,false,20,"18-24"
2022-04-01,Lug+Yg90jslWgHEN6dc+Ng==,Lug+Yg90jslWgHEN6dc+Ng==,82.23,82.23,,,,,,,264,298.92,game 3,uk,false,21,"18-24"
2022-04-01,nklUUkirU5GYU5ZtNOgx8w==,nklUUkirU5GYU5ZtNOgx8w==,19.11,19.11,,,,,,,226,164.22,game 3,ru,true,20,"18-24"
2022-04-01,nPrRQwP3UZo2KBlM2mJ8fg==,nPrRQwP3UZo2KBlM2mJ8fg==,31.68,31.68,,,,,,,270,483.72,game 3,uk,false,24,"18-24"
2022-04-01,o55dseByUOl9s5IQCz1kuQ==,,86.88,,,,,,63.72,,153,170.19,game 3,uk,false,22,"18-24"
2022-04-01,ojVPXYZw2oeGtcmG7LcLGA==,ojVPXYZw2oeGtcmG7LcLGA==,21.33,21.33,,,,,,,171,345.33,game 3,en,false,20,"18-24"
2022-04-01,orbgZNBGuhZZx63HTAbyIw==,orbgZNBGuhZZx63HTAbyIw==,62.13,62.13,,,,,,,198,636.42,game 3,uk,false,25,"25-30"
2022-04-01,OwODWxXcsV4bBnhONiLkwg==,OwODWxXcsV4bBnhONiLkwg==,14.37,14.37,OwODWxXcsV4bBnhONiLkwg==,14.37,,,,,1,14.37,game 3,uk,false,25,"25-30"
2022-04-01,pz7LUOs9i7xgncmHVxQvOw==,,19.5,,,,,,,-17.01,155,274.56,game 3,ru,false,24,"18-24"
2022-04-01,s27V1tbCAysovKSY1XcdWQ==,,39.48,,,,,,16.53,,98,88.14,game 3,uk,false,34,"31-35"
2022-04-01,ShEJVi+TtuQlvdw2uetd/Q==,ShEJVi+TtuQlvdw2uetd/Q==,131.97,131.97,,,,,,,63,191.97,game 3,uk,false,22,"18-24"
2022-04-01,SyWxmJ+Ha8K2C9UJt8blVA==,,16.8,,,,,,,-38.82,267,232.74,game 3,ru,false,25,"25-30"
2022-04-01,T+RA0/fgzbUBLF89D4AEDA==,,45.48,,,,,,29.37,,200,177.33,game 3,ru,false,23,"18-24"
2022-04-01,TWDA+aUZ8OPMHOtz5cPPXA==,TWDA+aUZ8OPMHOtz5cPPXA==,62.58,62.58,,,,,,,212,132.45,game 3,ru,false,20,"18-24"
2022-04-01,V7J42heW8l19wiBJ8UpRyw==,,36.84,,,,,,,-12.96,275,545.46,game 3,ru,false,25,"25-30"
2022-04-01,Veep00i4vvZbTAVD6GMoiA==,,48.33,,,,,,35.61,,233,389.67,game 3,uk,false,38,"36-40"
2022-04-01,W6fRYNhsTNHQkvkoFEUaVQ==,,57.72,,,,,,9.39,,286,472.20,game 3,uk,false,16,"14-17"
2022-04-01,WAdVK2sJHdBL0bCFyVa0ww==,WAdVK2sJHdBL0bCFyVa0ww==,24.09,24.09,WAdVK2sJHdBL0bCFyVa0ww==,24.09,,,,,1,24.09,game 3,uk,false,14,"14-17"
2022-04-01,Wua5DlzLb2yNeSrcG9Xi3g==,Wua5DlzLb2yNeSrcG9Xi3g==,59.85,59.85,,,,,,,201,172.53,game 3,uk,false,23,"18-24"
2022-04-01,xiXTXOEbWU+HnGOUmgc9/w==,,99.84,,,,,,75.66,,133,271.59,game 3,uk,false,20,"18-24"
2022-04-01,xnLJlU804PSS9tXKmm7gZQ==,xnLJlU804PSS9tXKmm7gZQ==,26.61,26.61,,,,,,,243,353.61,game 3,ru,true,21,"18-24"
2022-04-01,Y/nf8iBu/UCaNAuIRRjVwA==,,20.43,,,,,,,-3.84,221,263.34,game 3,uk,false,15,"14-17"
2022-04-01,ZmjMhgyYl6o8iFq964FEWg==,,56.70,,,,,,2.10,,264,433.83,game 3,ru,false,17,"14-17"
2022-04-01,zSepnWFgLH0tQb1s4mxKZQ==,,71.52,,,,,,48.51,,278,335.01,game 3,uk,false,24,"18-24"
2022-04-01,ZxxZ87IcpgSh4lQ/VSIjnA==,ZxxZ87IcpgSh4lQ/VSIjnA==,42.18,42.18,,,,,,,248,338.40,game 3,uk,false,22,"18-24"
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",,28.32,,,,,,16.29,,237,227.79,game 3,ru,false,34,"31-35"
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==","0A5RkQrm+GBgG7KSFk/xhw==",13.8,13.8,,,,,,,185,299.76,game 3,uk,false,31,"31-35"
2022-05-01,"2FYEYdoJMUOtbJ6TruruWA==",,30.33,,,,,,,-26.52,239,234.78,game 3,ru,false,20,"18-24"
2022-05-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",,72.06,,,,,,17.10,,229,240.45,game 3,uk,false,23,"18-24"
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",,15.69,,,,,,,-65.73,166,321.60,game 3,ru,false,16,"14-17"
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==","3rCdNEPkh3vwmYB0BVadEw==",22.86,22.86,,,,,,,88,62.07,game 3,ru,false,27,"25-30"
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",,12.36,,,,,,,-47.31,253,171.57,game 3,uk,true,21,"18-24"
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",,26.40,,,,,,11.46,,275,268.41,game 3,uk,true,20,"18-24"
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",,91.68,,,,,,,-34.29,261,467.37,game 3,ru,false,20,"18-24"
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==","4oH5e29koOH9zNYW8Kwcsg==",12.99,12.99,,,,,,,81,43.56,game 3,uk,false,28,"25-30"
2022-05-01,"6We7zBO7mVbNxGEl/xPKVg==","6We7zBO7mVbNxGEl/xPKVg==",22.74,22.74,,,,,,,215,556.86,game 3,uk,false,19,"18-24"
2022-05-01,"72brUr/DKItStlTen5pHYg==",,19.92,,,,"72brUr/DKItStlTen5pHYg==",19.92,,,227,262.56,game 3,uk,false,24,"18-24"
2022-05-01,"75lEf3nSWLSf6GncqhR9gQ==",,58.26,,,,,,,-7.71,178,288.21,game 3,ru,false,22,"18-24"
2022-05-01,"787jk0VnxM8/sv/0TkvO6A==",,36.75,,,,,,,-16.74,270,470.73,game 3,uk,false,20,"18-24"
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",,51.18,,,,,,,-62.97,294,440.16,game 3,ru,false,23,"18-24"
2022-05-01,"7ew71UmoMb73L41PM/YL/w==","7ew71UmoMb73L41PM/YL/w==",32.10,32.10,,,,,,,174,235.83,game 3,uk,false,17,"14-17"
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",,118.95,,,,,,60.75,,215,722.67,game 3,ru,false,32,"31-35"
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",,62.61,,,,,,,-43.35,279,501.48,game 3,ru,false,22,"18-24"
2022-05-01,"8TTRdxncZg7Nl0tvfwsZng==","8TTRdxncZg7Nl0tvfwsZng==",14.25,14.25,"8TTRdxncZg7Nl0tvfwsZng==",14.25,,,,,1,14.25,game 3,uk,false,30,"25-30"
2022-05-01,"9IWUQ1iWPfYSSN2tWuVqMQ==","9IWUQ1iWPfYSSN2tWuVqMQ==",12.48,12.48,,,,,,,222,402.24,game 3,ru,false,24,"18-24"
2022-05-01,an5Xsrpir8vvhTb50gnppQ==,an5Xsrpir8vvhTb50gnppQ==,15.51,15.51,an5Xsrpir8vvhTb50gnppQ==,15.51,,,,,1,15.51,game 3,uk,false,43,"41-45"
2022-05-01,AN9at3LlvDamqXq8dvHD4w==,,66.57,,,,,,2.07,,295,455.70,game 3,ru,false,24,"18-24"
2022-05-01,aQDvOXzsDAJWi3Y47ptRPg==,,39.30,,,,,,24.09,,40,73.59,game 3,ru,false,20,"18-24"
2022-05-01,b3TBQFxyCxxypmPajF+jXw==,,28.68,,,,,,13.86,,76,128.79,game 3,uk,true,15,"14-17"
2022-05-01,b6lW5fOrJiJUE7dwhEp9VQ==,b6lW5fOrJiJUE7dwhEp9VQ==,94.11,94.11,,,,,,,243,432.60,game 3,ru,false,17,"14-17"
2022-05-01,B8zuTsAC2iJ98u2nlv/fUw==,B8zuTsAC2iJ98u2nlv/fUw==,39.96,39.96,,,,,,,164,96.24,game 3,uk,true,21,"18-24"
2022-05-01,Bcs3CbYx2EpbL9otxlEUmg==,,30.72,,,,Bcs3CbYx2EpbL9otxlEUmg==,30.72,,,238,504.15,game 3,uk,true,18,"18-24"
2022-05-01,BDvlXttM/hbupcLic+5ZWg==,BDvlXttM/hbupcLic+5ZWg==,12.93,12.93,,,,,,,204,199.98,game 3,uk,false,29,"25-30"
2022-05-01,BTD3ZjLKfkT6ZRBT9zRwtg==,BTD3ZjLKfkT6ZRBT9zRwtg==,65.73,65.73,,,,,,,211,264.96,game 3,uk,true,14,"14-17"
2022-05-01,crKNTIblJ0113SKEtSJQHw==,crKNTIblJ0113SKEtSJQHw==,93.99,93.99,,,,,,,220,423.36,game 3,uk,false,16,"14-17"
2022-05-01,Dbff3x5cRk6/tUY3WQdzFQ==,,31.2,,,,,,,-29.37,176,335.76,game 3,uk,false,21,"18-24"
2022-05-01,DorDcyqBWMg5IEaflqn5Xw==,,37.62,,,,,,,-12.54,269,257.76,game 3,ru,false,23,"18-24"
2022-05-01,dpfu6t8G4blqMn55KM8bSg==,,33.15,,,,,,0.12,,192,400.32,game 3,uk,false,16,"14-17"
2022-05-01,DqezK7HAqZ+GovyRuzxD1A==,,72.15,,,,,,,-11.04,102,362.34,game 3,uk,false,23,"18-24"
2022-05-01,eCd4MBHIR4qUWapg05TFLQ==,,14.55,,,,,,,-8.49,218,242.04,game 3,ru,false,18,"18-24"
2022-05-01,er3/fOrRpmyqiRaC0CaFcg==,er3/fOrRpmyqiRaC0CaFcg==,47.22,47.22,,,,,,,218,412.17,game 3,uk,false,21,"18-24"
2022-05-01,FLqAK4qKiMkvlLBgGwbBnQ==,FLqAK4qKiMkvlLBgGwbBnQ==,24.36,24.36,,,,,,,149,138.39,game 3,ru,false,31,"31-35"
2022-05-01,Fqu+/F0rn1G4YP3f3yHA1Q==,,20.73,,,,,,,-5.55,261,198.33,game 3,uk,false,21,"18-24"
2022-05-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,,31.56,,Fx9+2aYPOHAS3fdXpLQ9Pg==,31.56,Fx9+2aYPOHAS3fdXpLQ9Pg==,31.56,,,50,44.10,game 3,ru,false,35,"31-35"
2022-05-01,fXlo39/YD2z9SEVShTXp6w==,fXlo39/YD2z9SEVShTXp6w==,17.34,17.34,fXlo39/YD2z9SEVShTXp6w==,17.34,,,,,1,17.34,game 3,uk,false,34,"31-35"
2022-05-01,GEAVJz1gd3SThbDZR01fcA==,,48.30,,,,,,,-39.06,191,333.36,game 3,uk,false,14,"14-17"
2022-05-01,Ghk2iJmzSUW4qLsmJgwOcw==,,67.29,,,,,,,-61.11,279,696.72,game 3,uk,false,16,"14-17"
2022-05-01,GOl6BQXsy0zvbvIWIoKEQw==,GOl6BQXsy0zvbvIWIoKEQw==,64.65,64.65,,,,,,,193,467.07,game 3,ru,false,18,"18-24"
2022-05-01,gPRMy8HkmaiyX+13OxuP/A==,,22.17,,,,,,,-33.69,217,343.20,game 3,ru,false,21,"18-24"
